sample,operator,x,y
a,Colin,19.165506806052015,11.518731304008385
a,Colin,19.34315156288463,8.79534332947032
a,Colin,20.75762563327148,9.83399586065089
a,Colin,18.923546615842174,10.576670327484582
a,Colin,21.147855277321064,9.120288163376719
a,Colin,18.998230726350748,7.711363746321343
a,Colin,18.21593894611385,7.644008935040606
a,Colin,19.575626949977508,8.74963317195076
a,Colin,20.66872784781574,11.151458908351014
a,Colin,19.523047632129447,7.489359588099932
a,Colin,18.93289071921064,10.627475534055147
a,Colin,19.202620764406685,10.51622955624952
a,Colin,18.067775055163413,8.865237697674383
a,Colin,20.661442160146837,9.726982816173187
a,Colin,19.17810365924894,9.807902782418005
a,Colin,18.828484627835763,11.36071865566847
a,Colin,19.044619424822052,9.962499799136538
a,Colin,19.951251774141078,11.081746511662072
a,Colin,19.101111005894655,11.02251992802764
a,Colin,18.867413701712024,10.14019014882668
a,Colin,19.117245597210026,10.814920490573819
a,Colin,17.827855703388998,9.32247315656515
a,Colin,18.975459742420313,10.696021759254448
a,Colin,19.300914175591924,11.175147186502198
a,Colin,18.759744502912866,8.330044466260937
a,Colin,19.02243857863969,10.904913237069541
a,Colin,20.38117648958788,10.454443628141806
a,Colin,19.293103181377624,10.235922529936136
a,Colin,17.951588299444296,9.311238559063934
a,Colin,20.617380836882194,9.959276145310003
a,Colin,20.069287677286123,10.155801509723005
a,Colin,21.235883229966852,10.780348757874362
a,Colin,18.602866272177625,9.797636117053791
a,Colin,20.728578051313324,9.746973023549236
a,Colin,19.74225708464713,10.313814803106672
a,Colin,20.834037956654804,10.284702357608552
a,Colin,20.626890121393355,10.112238514876388
a,Colin,20.025279316489733,9.683601091542554
a,Colin,21.11481142089332,9.284193034956916
a,Colin,17.91630320386924,11.464459825186598
a,Colin,21.400147004732627,8.540551711174615
a,Colin,19.771952673597642,11.020213313750217
a,Colin,21.28690947826393,9.660691840516348
a,Colin,22.70081777313916,9.466507682893782
a,Colin,20.86911390626092,11.314698310075588
a,Colin,21.283958964042096,9.694969450643798
a,Colin,21.456094466989835,10.779109870176566
a,Colin,18.936700679905805,9.107381725651491
a,Colin,19.274792304703823,8.918276756835894
a,Colin,19.48445365496545,9.01372075403942
a,Colin,20.013559134216685,9.697572094977414
a,Colin,20.597794906899416,10.821294751110857
